,cntry2,value,pty_abbr,notes
484,PT,nos,NC,Nós Cidadãos
485,PT,Nos Cidadaos,NC,
486,PT,Nós Cidadãos,NC,
487,PT,Nós Cidadãos!,NC,
488,PT,"Nós, cidadãos",NC,
489,PT,"Nós, Cidadãos",NC,
490,PT,"Nós, cidadãos!",NC,
491,PT,Paf,PSD,
492,PT,PaF,PSD,
493,PT,PAF,PSD,
494,PT,PáF,PSD,
495,PT,PAF - coligação Portugal à Frente,PSD,
496,PT,PAF - Coligação PSD/CDS,PSD,
497,PT,PaF (PSD + CDS),PSD,
498,PT,PaF (PSD e CDS),PSD,
499,PT,Partido Livre,LIVRE,
500,PT,Partido Monárquico,PPM,Partido Popular Monárquico
501,PT,Partido Nacional renovador,Ergue-te,"Ergue-te, E is a Portuguese far-right nationalist political party. It was named National Renewal Party (Partido Nacional Renovador)"
502,PT,Partido Nacional Renovador,Ergue-te,"Ergue-te, E is a Portuguese far-right nationalist political party. It was named National Renewal Party (Partido Nacional Renovador)"
503,PT,Partido Popular Monarquico,PPM,Partido Popular Monárquico
504,PT,PCTP,PCTP/MRPP,"Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado, PCTP/MRPP"
505,PT,PCTP/MRPP,PCTP/MRPP,"Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado, PCTP/MRPP"
506,PT,pdr,PDR,"Partido Democrático Republicano, PDR"
507,PT,PDR,PDR,"Partido Democrático Republicano, PDR"
508,PT,Pnr,Ergue-te,"Ergue-te, E is a Portuguese far-right nationalist political party. It was named National Renewal Party (Partido Nacional Renovador)"
509,PT,PNR,Ergue-te,"Ergue-te, E is a Portuguese far-right nationalist political party. It was named National Renewal Party (Partido Nacional Renovador)"
510,PT,PNR-Part. Mac. Renovador,Ergue-te,"Ergue-te, E is a Portuguese far-right nationalist political party. It was named National Renewal Party (Partido Nacional Renovador)"
511,PT,PPM,PPM,Partido Popular Monárquico
512,PT,ppv/cdc,PPV/CDC,Partido Cidadania e Democracia Cristã
513,PT,PRD,PRD,Partido Renovador Democrático
514,PT,PSD+CDS,PSD,
515,PT,TDA Livre,LIVRE,
516,RO,Alianta noastr? România,ANR,
517,RO,Alianta noastra Romania,ANR,
518,RO,ANR,ANR,
519,RO,Ecologisi,PER,Partidul Ecologist Român
520,RO,ECOLOGIST,PER,Partidul Ecologist Român
521,RO,PDL,PDL," Partidul Democrat-Liberal, PDL)"
522,RO,PER,PER,Partidul Ecologist Român
523,RO,PNL si USR,PNL,
524,RO,PNR,PNR,"Partidul Național Român, PNR"
525,RO,PNT MANIU-MIHALACHE,PNT,
526,RO,PNTCD,PNT-CD,"Partidul Național Țărănesc Creștin Democrat, abbreviated PNȚ-CD"
527,RO,PSRO,PSRO,"Partidul Social Românesc, PSRO"
528,RO,Romania Mare,PRM,
529,RO,USR la senat; UDMR la camera deputatilor,UDMR,
530,SE,Direktdemokraterna,DD,"Direktdemokraterna, DD"
531,SE,Direktdemokraterna.,DD,"Direktdemokraterna, DD"
532,SE,Djurens parti,Djurens parti,
533,SE,Enhet,Enhet,
534,SE,F!,FI,
535,SE,Feministisk Initativ,FI,
536,SE,Feministisk initiativ,FI,
537,SE,Feministisk Initiativ,FI,
538,SE,Feministiskt Alternativ,FI,
539,SE,feministiskt initiativ,FI,
540,SE,Feministiskt initiativ,FI,
541,SE,Feministiskt intiativ,FI,
542,SE,Feministiskt Intiativ,FI,
543,SE,fi,FI,
544,SE,Fi,FI,
545,SE,Framstegspartiet,FsP,"The Progress Party (Swedish: Framstegspartiet, FsP), later the Swedish Progress Party (Swedish: Framstegspartiet, FsP)"
